股票代号,股票名,最高,今开,涨停,成交量,最低,昨收,跌停,成交额,量比,换手,市盈率(动),市盈率(TTM),委比,振幅,市盈率(静),市净率,每股收益,股息(TTM),总股本,总市值,每股净资产,股息率(TTM),流通股,流通值,52周最高,52周最低,货币单位
SH600074,退市保千,0.20,0.19,0.21,38.44万手,0.18,0.19,0.17,731.27万,0.82,3.75%,亏损,亏损,-19.83%,10.53%,亏损,-0.08,-0.38,0.00,24.38亿,4.63亿,-2.48,0.00%,10.26亿,1.95亿,0.94,0.16,CNY
SZ000820,*ST节能,0.94,0.93,0.97,13.87万手,0.87,0.92,0.87,1218.47万,1.75,4.82%,亏损,亏损,-100.00%,7.61%,亏损,-0.27,-3.23,0.00,6.37亿,5.54亿,-3.17,0.00%,2.88亿,2.50亿,3.06,0.87,CNY
SZ300156,神雾环保,0.43,0.43,0.53,46640手,0.43,0.48,0.43,200.55万,0.14,0.65%,亏损,亏损,-100.00%,0.00%,亏损,1.43,-2.20,0.00,10.10亿,4.34亿,0.30,0.00%,7.22亿,3.10亿,3.27,0.43,CNY
SZ300431,暴风集团,1.73,1.67,1.88,37.33万手,1.54,1.71,1.54,5985.75万,1.93,15.35%,亏损,亏损,-100.00%,11.11%,亏损,-0.80,-4.59,0.00,3.30亿,5.07亿,-1.93,0.00%,2.43亿,3.74亿,8.34,1.45,CNY
SZ002875,安奈儿,12.96,12.96,14.20,15466手,12.68,12.91,11.62,1972.33万,0.79,4.35%,亏损,亏损,53.05%,2.17%,39.81,1.90,-0.04,0.00,1.31亿,16.77亿,6.73,0.00%,3553.32万,4.53亿,21.42,12.07,CNY
SH603709,中源家居,23.33,23.11,25.51,11376手,22.60,23.19,20.87,2605.32万,0.64,5.69%,亏损,88.69,-60.42%,3.15%,53.99,2.97,0.26,0.23,8000.00万,18.20亿,7.65,1.01%,2000.00万,4.55亿,39.50,19.98,CNY
SZ002220,ST天宝,0.70,0.70,0.78,26177手,0.70,0.74,0.70,183.24万,0.25,0.40%,亏损,亏损,-100.00%,0.00%,亏损,1.30,-2.41,0.00,7.66亿,5.37亿,0.54,0.00%,6.61亿,4.63亿,2.33,0.70,CNY
SH603157,拉夏贝尔,3.33,3.07,3.33,21.21万手,3.04,3.03,2.73,6993.65万,1.50,14.55%,亏损,亏损,100.00%,9.57%,亏损,1.97,-4.55,0.00,5.48亿,18.24亿,1.69,0.00%,1.46亿,4.86亿,7.12,2.82,CNY
SH603196,日播时尚,7.83,7.70,8.47,48794手,7.30,7.70,6.93,3694.80万,1.17,7.46%,亏损,亏损,-19.83%,6.88%,205.33,2.00,-0.05,0.20,2.40亿,18.10亿,3.78,2.65%,6540.00万,4.93亿,13.09,6.78,CNY
SH603331,百达精工,16.06,16.06,17.67,10485手,15.56,16.06,14.45,1648.81万,1.18,3.30%,46.26,32.67,29.44%,3.11%,26.90,2.60,0.48,0.24,1.28亿,20.10亿,6.02,1.51%,3181.33万,4.98亿,18.95,14.10,CNY
